Name,Short Name,Description,Types,Latitude,Longitude
414,414_4,,Point Count Point,39.90524165,-121.0859528
414,414_5,,Point Count Point,39.90497833,-121.0891069
414,414_6,,Point Count Point,39.90524907,-121.0918717
414,414_7,,Point Count Point,39.90807662,-121.0912434
414,414_8,,Point Count Point,39.90854698,-121.0886216
414,414_9,,Point Count Point,39.90919969,-121.0861351
414,414_10,,Point Count Point,39.90894801,-121.0823517
414,414_11,,Point Count Point,39.91059462,-121.0800479
414,414_12,,Point Count Point,39.91038769,-121.0768015
422,422_1,,Point Count Point,39.89985958,-120.9717655
422,422_2,,Point Count Point,39.8992595,-120.9745436
422,422_3,,Point Count Point,39.89874108,-120.9772095
422,422_4,,Point Count Point,39.90134427,-120.9740917
422,422_5,,Point Count Point,39.90136068,-120.9693657
422,422_6,,Point Count Point,39.90371941,-120.9708167
422,422_7,,Point Count Point,39.89439661,-120.9855173
422,422_8,,Point Count Point,39.89512969,-120.9815659
422,422_9,,Point Count Point,39.89565917,-120.9783457
422,422_10,,Point Count Point,39.89541742,-120.9758498
422,422_11,,Point Count Point,39.89606214,-120.9735618
422,422_12,,Point Count Point,39.89770405,-120.9716303
423,423_1,,Point Count Point,39.9734776,-121.0519185
423,423_2,,Point Count Point,39.9718839,-121.0541183
423,423_3,,Point Count Point,39.97018934,-121.0562155
423,423_4,,Point Count Point,39.96840057,-121.0580693
423,423_5,,Point Count Point,39.96697822,-121.0602873
423,423_6,,Point Count Point,39.96506544,-121.0633504
423,423_7,,Point Count Point,39.96368018,-121.0656374
423,423_8,,Point Count Point,39.96050373,-121.0626246
423,423_9,,Point Count Point,39.96230159,-121.0596937
423,423_10,,Point Count Point,39.96358984,-121.0575382
423,423_11,,Point Count Point,39.96495126,-121.0554507
423,423_12,,Point Count Point,39.96674408,-121.0533041
424,424_1,,Point Count Point,39.90038931,-121.0291351
424,424_2,,Point Count Point,39.89819333,-121.030859
424,424_3,,Point Count Point,39.89620903,-121.031255
424,424_4,,Point Count Point,39.89441587,-121.0338911
424,424_5,,Point Count Point,39.89224524,-121.0355204
424,424_6,,Point Count Point,39.89023647,-121.0371333
424,424_7,,Point Count Point,39.88819193,-121.031847
424,424_8,,Point Count Point,39.89005972,-121.0304252
424,424_9,,Point Count Point,39.8921052,-121.0288579
424,424_10,,Point Count Point,39.89406201,-121.0273749
424,424_11,,Point Count Point,39.89610122,-121.0259714
424,424_12,,Point Count Point,39.898094,-121.0244872
513,513_1,,Point Count Point,39.82469963,-121.2726507
513,513_2,,Point Count Point,39.82654167,-121.2717166
513,513_3,,Point Count Point,39.82826157,-121.2704465
513,513_4,,Point Count Point,39.83011358,-121.2689744
513,513_5,,Point Count Point,39.83177661,-121.2675187
513,513_6,,Point Count Point,39.83377785,-121.2657857
513,513_7,,Point Count Point,39.83431749,-121.2705517
513,513_8,,Point Count Point,39.83256227,-121.2718695
513,513_9,,Point Count Point,39.83068268,-121.2733071
513,513_10,,Point Count Point,39.82846411,-121.2743676
513,513_11,,Point Count Point,39.82672216,-121.2753694
513,513_12,,Point Count Point,39.82433367,-121.2765157
514,514_1,,Point Count Point,39.76709189,-121.2283506
514,514_2,,Point Count Point,39.7648385,-121.2288753
514,514_3,,Point Count Point,39.76270255,-121.2294203
514,514_4,,Point Count Point,39.76059183,-121.229848
514,514_5,,Point Count Point,39.7583651,-121.2303486
514,514_6,,Point Count Point,39.75608432,-121.2308505
514,514_7,,Point Count Point,39.75569863,-121.226238
514,514_8,,Point Count Point,39.75784465,-121.2257627
514,514_9,,Point Count Point,39.76010703,-121.2252377
514,514_10,,Point Count Point,39.76233302,-121.2246903
514,514_11,,Point Count Point,39.7645871,-121.2242121
514,514_12,,Point Count Point,39.76675165,-121.2237712
522,522_1,,Point Count Point,39.83743313,-121.2168674
522,522_2,,Point Count Point,39.83963582,-121.2159806
522,522_3,,Point Count Point,39.84170359,-121.215109
522,522_4,,Point Count Point,39.84381746,-121.2143062
522,522_5,,Point Count Point,39.84586774,-121.21347
522,522_6,,Point Count Point,39.8480151,-121.2125026
522,522_7,,Point Count Point,39.84936071,-121.2179847
522,522_8,,Point Count Point,39.84736425,-121.2188078
522,522_9,,Point Count Point,39.84532365,-121.2196904
522,522_10,,Point Count Point,39.84327529,-121.2206549
522,522_11,,Point Count Point,39.84118207,-121.2216322
522,522_12,,Point Count Point,39.839178,-121.2225488
523,523_1,,Point Count Point,39.79004036,-121.2450459
523,523_2,,Point Count Point,39.78777575,-121.2466216
523,523_3,,Point Count Point,39.78639548,-121.2482916
523,523_4,,Point Count Point,39.78433919,-121.2499436
523,523_5,,Point Count Point,39.78220025,-121.2514924
523,523_6,,Point Count Point,39.78013896,-121.2534129
523,523_7,,Point Count Point,39.77875992,-121.2485903
523,523_8,,Point Count Point,39.78064666,-121.2470479
523,523_9,,Point Count Point,39.78258724,-121.2454922
523,523_10,,Point Count Point,39.78449353,-121.2440542
523,523_11,,Point Count Point,39.78640757,-121.2419385
523,523_12,,Point Count Point,39.7882762,-121.2403961
524,524_1,,Point Count Point,39.83738689,-121.2691541
524,524_2,,Point Count Point,39.83954817,-121.2690881
524,524_3,,Point Count Point,39.84156076,-121.2681143
524,524_4,,Point Count Point,39.84364541,-121.2689501
524,524_5,,Point Count Point,39.84587589,-121.2698993
524,524_6,,Point Count Point,39.84833623,-121.2693466
524,524_7,,Point Count Point,39.84793135,-121.2639567
524,524_8,,Point Count Point,39.84577838,-121.2639759
524,524_9,,Point Count Point,39.84365671,-121.2648826
524,524_10,,Point Count Point,39.84051597,-121.2645175
524,524_11,,Point Count Point,39.8380567,-121.2651404
524,524_12,,Point Count Point,39.83615345,-121.2649897
613,613_1,,Point Count Point,39.74571319,-120.9635629
613,613_2,,Point Count Point,39.74731641,-120.9614849
613,613_3,,Point Count Point,39.75036244,-120.9625622
613,613_4,,Point Count Point,39.75229963,-120.9610345
613,613_5,,Point Count Point,39.75432481,-120.9599009
613,613_6,,Point Count Point,39.75642655,-120.9595353
613,613_7,,Point Count Point,39.75740261,-120.9627865
613,613_8,,Point Count Point,39.75601058,-120.9645785
613,613_9,,Point Count Point,39.75397941,-120.9664008
613,613_10,,Point Count Point,39.7521901,-120.9681459
613,613_11,,Point Count Point,39.75024707,-120.9698603
613,613_12,,Point Count Point,39.74785971,-120.9714127
614,614_1,,Point Count Point,39.6791368,-121.0562673
614,614_2,,Point Count Point,39.67708314,-121.0573742
614,614_3,,Point Count Point,39.67509581,-121.0586774
614,614_4,,Point Count Point,39.67308641,-121.0592
614,614_5,,Point Count Point,39.67091234,-121.060112
614,614_6,,Point Count Point,39.66881166,-121.0611034
614,614_7,,Point Count Point,39.67002627,-121.0664088
614,614_8,,Point Count Point,39.6721478,-121.0650438
614,614_9,,Point Count Point,39.67466482,-121.0647054
614,614_10,,Point Count Point,39.67677609,-121.063807
614,614_11,,Point Count Point,39.67926629,-121.0618602
614,614_12,,Point Count Point,39.68104433,-121.0609709
622,622_1,,Point Count Point,39.70523587,-121.0114801
622,622_2,,Point Count Point,39.70422218,-121.013842
622,622_3,,Point Count Point,39.70339332,-121.0164784
622,622_4,,Point Count Point,39.7025452,-121.0190453
622,622_5,,Point Count Point,39.70155114,-121.0215114
622,622_6,,Point Count Point,39.70137093,-121.0114862
622,622_7,,Point Count Point,39.69876254,-121.0233521
622,622_8,,Point Count Point,39.69653995,-121.0229841
622,622_9,,Point Count Point,39.69723389,-121.0203519
622,622_10,,Point Count Point,39.69784315,-121.0175121
622,622_11,,Point Count Point,39.69800929,-121.01458
622,622_12,,Point Count Point,39.69872846,-121.0118536
623,623_1,,Point Count Point,39.66248366,-120.9415192
623,623_2,,Point Count Point,39.6642954,-120.9400432
623,623_3,,Point Count Point,39.66717516,-120.9383372
623,623_4,,Point Count Point,39.66931258,-120.9374459
623,623_5,,Point Count Point,39.67168483,-120.9360813
623,623_6,,Point Count Point,39.67349961,-120.935794
623,623_7,,Point Count Point,39.67500753,-120.9415669
623,623_8,,Point Count Point,39.67326608,-120.9424347
623,623_9,,Point Count Point,39.67101644,-120.9430961
623,623_10,,Point Count Point,39.66911083,-120.9438521
623,623_11,,Point Count Point,39.66687596,-120.9448393
623,623_12,,Point Count Point,39.66449886,-120.9459356
624,624_1,,Point Count Point,39.63195563,-121.0461592
624,624_2,,Point Count Point,39.63319401,-121.0437241
624,624_3,,Point Count Point,39.63438122,-121.0409291
624,624_4,,Point Count Point,39.63574828,-121.0381173
624,624_5,,Point Count Point,39.63693732,-121.0354386
624,624_6,,Point Count Point,39.6380699,-121.0326216
624,624_7,,Point Count Point,39.63318039,-121.0306512
624,624_8,,Point Count Point,39.6325576,-121.0332439
624,624_9,,Point Count Point,39.63096849,-121.0362367
624,624_10,,Point Count Point,39.62993994,-121.0388175
624,624_11,,Point Count Point,39.62911063,-121.0414624
624,624_12,,Point Count Point,39.62856257,-121.0442275
713,713_1,,Point Count Point,39.97443064,-120.8034644
713,713_2,,Point Count Point,39.97370538,-120.8075039
713,713_3,,Point Count Point,39.97302442,-120.8105583
713,713_4,,Point Count Point,39.97290093,-120.8135597
713,713_5,,Point Count Point,39.97275803,-120.8164915
713,713_6,,Point Count Point,39.97265063,-120.8193987
713,713_7,,Point Count Point,39.96918449,-120.8185605
713,713_8,,Point Count Point,39.96943637,-120.8156723
713,713_9,,Point Count Point,39.96957224,-120.8128462
713,713_10,,Point Count Point,39.96971528,-120.8099262
713,713_11,,Point Count Point,39.96987713,-120.8070525
713,713_12,,Point Count Point,39.97007404,-120.8041308
714,714_1,,Point Count Point,40.01208843,-120.8159176
714,714_2,,Point Count Point,40.01213698,-120.8122842
714,714_3,,Point Count Point,40.01206542,-120.8094513
714,714_4,,Point Count Point,40.01200257,-120.8066064
714,714_5,,Point Count Point,40.01204591,-120.8036644
714,714_6,,Point Count Point,40.01209885,-120.8007572
714,714_7,,Point Count Point,40.00781307,-120.7999343
714,714_8,,Point Count Point,40.00771333,-120.8036979
714,714_9,,Point Count Point,40.00766931,-120.8066047
714,714_10,,Point Count Point,40.0083846,-120.8110803
714,714_11,,Point Count Point,40.00763112,-120.8141151
714,714_12,,Point Count Point,40.00759585,-120.8170215
722,722_3,,Point Count Point,39.97620625,-120.8749999
722,722_4,,Point Count Point,39.97835722,-120.8729191
722,722_5,,Point Count Point,39.97861837,-120.8699718
722,722_6,,Point Count Point,39.97976979,-120.8674301
722,722_7,,Point Count Point,39.97595598,-120.8643285
722,722_8,,Point Count Point,39.97481191,-120.8667763
722,722_9,,Point Count Point,39.97304076,-120.8694191
722,722_10,,Point Count Point,39.97238449,-120.8719452
722,722_11,,Point Count Point,39.9705253,-120.873724
722,722_12,,Point Count Point,39.96993518,-120.8769154
722,722_13,,Point Count Point,39.96876404,-120.8793752
722,722_14,,Point Count Point,39.96755319,-120.8816372
723,723_1,,Point Count Point,39.92696152,-120.7052304
723,723_2,,Point Count Point,39.92574464,-120.7029192
723,723_3,,Point Count Point,39.924238,-120.7005358
723,723_4,,Point Count Point,39.92280682,-120.6983255
723,723_5,,Point Count Point,39.92139268,-120.6960679
723,723_6,,Point Count Point,39.9199861,-120.69374
723,723_7,,Point Count Point,39.92281345,-120.690954
723,723_8,,Point Count Point,39.92418593,-120.6933767
723,723_9,,Point Count Point,39.9255579,-120.6957762
723,723_10,,Point Count Point,39.92722436,-120.6980371
723,723_11,,Point Count Point,39.92858793,-120.7004721
723,723_12,,Point Count Point,39.93020188,-120.7023606
724,724_1,,Point Count Point,39.98275734,-120.8318186
724,724_2,,Point Count Point,39.98351921,-120.8340195
724,724_3,,Point Count Point,39.98436491,-120.8363701
724,724_4,,Point Count Point,39.98514952,-120.8388281
724,724_5,,Point Count Point,39.98597625,-120.8411326
724,724_6,,Point Count Point,39.98693617,-120.8438194
724,724_7,,Point Count Point,39.98239056,-120.8449929
724,724_8,,Point Count Point,39.98162257,-120.8424524
724,724_9,,Point Count Point,39.98069689,-120.8396711
724,724_10,,Point Count Point,39.98029998,-120.8362642
724,724_11,,Point Count Point,39.97982189,-120.8338201
724,724_12,,Point Count Point,39.97937778,-120.8312697
813,813_1,,Point Count Point,39.96083281,-120.6676897
813,813_2,,Point Count Point,39.96099331,-120.6649214
813,813_3,,Point Count Point,39.96112625,-120.6621306
813,813_4,,Point Count Point,39.96137619,-120.658891
813,813_5,,Point Count Point,39.96171201,-120.6563391
813,813_6,,Point Count Point,39.96196036,-120.6534741
813,813_7,,Point Count Point,39.95752932,-120.6521974
813,813_8,,Point Count Point,39.95666624,-120.6545097
813,813_9,,Point Count Point,39.95622621,-120.6572522
813,813_10,,Point Count Point,39.95573351,-120.6600668
813,813_11,,Point Count Point,39.95518457,-120.6632227
813,813_12,,Point Count Point,39.95635982,-120.6656643
814,814_1,,Point Count Point,39.97900199,-120.7311961
814,814_2,,Point Count Point,39.98063475,-120.7294675
814,814_3,,Point Count Point,39.98294372,-120.7268498
814,814_4,,Point Count Point,39.98462235,-120.7251663
814,814_5,,Point Count Point,39.98680073,-120.7232436
814,814_6,,Point Count Point,39.98888877,-120.7268166
814,814_7,,Point Count Point,39.98683194,-120.7289695
814,814_8,,Point Count Point,39.98494109,-120.730859
814,814_9,,Point Count Point,39.98380766,-120.7337072
814,814_10,,Point Count Point,39.98166587,-120.7352066
814,814_11,,Point Count Point,39.98357936,-120.7372397
814,814_12,,Point Count Point,39.97728512,-120.7332318
822,822_1,,Point Count Point,39.99061627,-120.6956756
822,822_2,,Point Count Point,39.9929591,-120.696159
822,822_3,,Point Count Point,39.9953031,-120.696701
822,822_4,,Point Count Point,39.99730313,-120.6971609
822,822_5,,Point Count Point,39.99955616,-120.6976591
822,822_6,,Point Count Point,39.99969164,-120.6945036
822,822_7,,Point Count Point,39.99871982,-120.6918422
822,822_8,,Point Count Point,39.99658082,-120.6902861
822,822_9,,Point Count Point,39.99447483,-120.6899355
822,822_10,,Point Count Point,39.99208132,-120.6900747
822,822_11,,Point Count Point,39.99026756,-120.6885664
822,822_12,,Point Count Point,39.99002723,-120.6918773
823,823_1,,Point Count Point,39.88218984,-120.7016725
823,823_2,,Point Count Point,39.8836916,-120.7047212
823,823_3,,Point Count Point,39.88500053,-120.7075893
823,823_4,,Point Count Point,39.88652408,-120.7099242
823,823_5,,Point Count Point,39.88867472,-120.7139106
823,823_6,,Point Count Point,39.8900271,-120.7162514
823,823_7,,Point Count Point,39.8858976,-120.7188209
823,823_8,,Point Count Point,39.88481979,-120.7157811
823,823_9,,Point Count Point,39.88409741,-120.7124957
823,823_10,,Point Count Point,39.88301967,-120.7099239
823,823_11,,Point Count Point,39.8810409,-120.707347
823,823_12,,Point Count Point,39.87960709,-120.7045417
824,824_1,,Point Count Point,40.02703564,-120.659131
824,824_2,,Point Count Point,40.02546369,-120.6611417
824,824_3,,Point Count Point,40.02381375,-120.6633072
824,824_4,,Point Count Point,40.02178476,-120.6649935
824,824_5,,Point Count Point,40.02087435,-120.6672039
824,824_6,,Point Count Point,40.01921834,-120.6695217
824,824_7,,Point Count Point,40.02177266,-120.6729031
824,824_8,,Point Count Point,40.02334482,-120.6708928
824,824_9,,Point Count Point,40.02555649,-120.6697746
824,824_10,,Point Count Point,40.02647768,-120.6667551
824,824_11,,Point Count Point,40.0269681,-120.6638206
824,824_12,,Point Count Point,40.02930073,-120.6628972
913,913_1,,Point Count Point,40.13911628,-120.6813552
913,913_2,,Point Count Point,40.13987081,-120.6785477
913,913_3,,Point Count Point,40.14057984,-120.6752722
913,913_4,,Point Count Point,40.14126125,-120.6724201
913,913_5,,Point Count Point,40.14115305,-120.6688321
913,913_6,,Point Count Point,40.1407576,-120.6657468
913,913_7,,Point Count Point,40.14560607,-120.6689732
913,913_8,,Point Count Point,40.14518963,-120.6715582
913,913_9,,Point Count Point,40.14472501,-120.6744382
913,913_10,,Point Count Point,40.14427573,-120.6771886
913,913_11,,Point Count Point,40.14437678,-120.6808827
913,913_12,,Point Count Point,40.14307018,-120.6826645
914,914_1,,Point Count Point,40.26715036,-120.6535373
914,914_2,,Point Count Point,40.26526295,-120.6550842
914,914_3,,Point Count Point,40.26411562,-120.6571464
914,914_4,,Point Count Point,40.26245963,-120.6590027
914,914_5,,Point Count Point,40.26076878,-120.6609188
914,914_6,,Point Count Point,40.25924965,-120.6628642
914,914_7,,Point Count Point,40.25641779,-120.6582469
914,914_8,,Point Count Point,40.25770398,-120.6563683
914,914_9,,Point Count Point,40.25990862,-120.6549164
914,914_10,,Point Count Point,40.26142518,-120.6524065
914,914_11,,Point Count Point,40.26299776,-120.6495535
914,914_12,,Point Count Point,40.2656712,-120.6485672
922,922_1,,Point Count Point,40.1562032,-120.606422
922,922_2,,Point Count Point,40.15546302,-120.603736
922,922_3,,Point Count Point,40.15471158,-120.6009448
922,922_4,,Point Count Point,40.15395522,-120.5983535
922,922_5,,Point Count Point,40.15278521,-120.5962346
922,922_6,,Point Count Point,40.15174502,-120.5925616
922,922_7,,Point Count Point,40.1495472,-120.5943062
922,922_8,,Point Count Point,40.15030706,-120.5970616
922,922_9,,Point Count Point,40.15105785,-120.5998174
922,922_10,,Point Count Point,40.15183534,-120.6025605
922,922_11,,Point Count Point,40.15220014,-120.6053886
922,922_12,,Point Count Point,40.15289407,-120.6080174
923,923_1,,Point Count Point,40.18325375,-120.7078524
923,923_2,,Point Count Point,40.18100581,-120.7071529
923,923_3,,Point Count Point,40.17895046,-120.7070812
923,923_4,,Point Count Point,40.17679137,-120.7063201
923,923_5,,Point Count Point,40.17498344,-120.7060053
